latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
29.52668,79.39491,332.31,0.5,0.41,2020-05-17,730,N,VIIRS,n,2,299.19,3.18,D,0
29.52787,79.39682,338.06,0.5,0.41,2020-05-17,730,N,VIIRS,n,2,299.36,3.26,D,0
30.12652,78.66014,347.87,0.53,0.42,2020-05-17,730,N,VIIRS,n,2,311.34,10.88,D,0
29.07046,79.16759,338.47,0.63,0.54,2020-05-18,711,N,VIIRS,n,2,310.53,4.76,D,0
29.32705,78.98656,338.25,0.32,0.55,2020-05-18,711,N,VIIRS,l,2,308.89,2.25,D,0
29.33198,78.98512,337.66,0.32,0.55,2020-05-18,711,N,VIIRS,l,2,308.43,2.25,D,0
29.47263,78.62227,343.39,0.33,0.56,2020-05-18,711,N,VIIRS,n,2,311.41,3.44,D,0
29.52668,79.45019,337.54,0.6,0.53,2020-05-18,711,N,VIIRS,n,2,301.38,3.68,D,0
29.97823,78.73535,330.15,0.76,0.77,2020-05-18,852,N,VIIRS,n,2,302.91,3.7,D,0
29.01693,79.23147,351.89,0.42,0.61,2020-05-19,832,N,VIIRS,n,2,309.22,5.91,D,0
29.01723,79.23584,340.64,0.42,0.61,2020-05-19,832,N,VIIRS,n,2,308.18,7.56,D,0
29.01845,79.50638,346.33,0.43,0.62,2020-05-19,832,N,VIIRS,n,2,310.59,4.99,D,0
29.01847,79.50869,367.0,0.43,0.62,2020-05-19,832,N,VIIRS,h,2,310.75,8.05,D,0
29.01877,79.51088,342.95,0.43,0.62,2020-05-19,832,N,VIIRS,n,2,308.3,5.53,D,0
29.0611,79.28931,337.16,0.42,0.61,2020-05-19,832,N,VIIRS,l,2,308.15,4.01,D,0
29.13474,79.16912,335.6,0.41,0.61,2020-05-19,832,N,VIIRS,n,2,310.03,3.68,D,0
29.13505,79.17348,348.22,0.41,0.61,2020-05-19,832,N,VIIRS,n,2,310.19,5.89,D,0
29.13857,79.14268,351.01,0.41,0.61,2020-05-19,832,N,VIIRS,n,2,307.01,5.08,D,0
29.13887,79.14697,347.2,0.41,0.61,2020-05-19,832,N,VIIRS,n,2,309.58,7.28,D,0
29.17808,78.94118,336.3,0.4,0.6,2020-05-19,832,N,VIIRS,n,2,308.77,3.31,D,0
29.18041,78.94151,355.74,0.4,0.6,2020-05-19,832,N,VIIRS,n,2,309.55,6.26,D,0
29.18367,78.94067,350.46,0.4,0.6,2020-05-19,832,N,VIIRS,n,2,309.0,3.31,D,0
29.2055,79.17552,343.9,0.41,0.61,2020-05-19,832,N,VIIRS,n,2,311.69,4.08,D,0
29.20938,79.17551,346.72,0.41,0.61,2020-05-19,832,N,VIIRS,n,2,311.32,4.22,D,0
29.23391,79.25623,345.07,0.42,0.61,2020-05-19,832,N,VIIRS,n,2,310.95,3.36,D,0
29.23952,79.17229,337.89,0.41,0.61,2020-05-19,832,N,VIIRS,n,2,311.45,3.44,D,0
29.34451,79.76191,333.21,0.45,0.63,2020-05-19,832,N,VIIRS,n,2,304.28,3.32,D,0
